epoch,accuracy,loss,val_accuracy,val_loss
0,0.37448105216026306,1.3173810243606567,0.44668588042259216,1.2586536407470703
1,0.6504290103912354,0.9597631692886353,0.6628242135047913,0.9075535535812378
2,0.7907556295394897,0.5790268778800964,0.6945244669914246,0.7909772992134094
3,0.8391917943954468,0.42222923040390015,0.6916426420211792,0.8024040460586548
4,0.8762801289558411,0.3358541429042816,0.6858789920806885,0.8455339074134827
5,0.899252712726593,0.28156280517578125,0.6743515729904175,0.9064803123474121
6,0.921394944190979,0.23090003430843353,0.6829971075057983,0.9925551414489746
7,0.9338499903678894,0.19772972166538239,0.6599423885345459,1.0746623277664185
8,0.9460282325744629,0.1711549311876297,0.6570605039596558,1.1195592880249023
9,0.9526709318161011,0.15436789393424988,0.6657060384750366,1.1737725734710693
10,0.9593135714530945,0.13348615169525146,0.6599423885345459,1.2156286239624023
11,0.9620813727378845,0.12683841586112976,0.6599423885345459,1.270612120628357
12,0.9659562706947327,0.11008867621421814,0.6484149694442749,1.3052046298980713
13,0.9690008163452148,0.0984392911195755,0.6484149694442749,1.397513747215271
14,0.9670633673667908,0.09928853064775467,0.6628242135047913,1.4154443740844727
15,0.9712150692939758,0.09239212423563004,0.6368876099586487,1.4775490760803223
16,0.9717686176300049,0.0887327715754509,0.6570605039596558,1.487410068511963
17,0.9739828109741211,0.08384696394205093,0.6368876099586487,1.5229573249816895
18,0.973429262638092,0.08149854093790054,0.6628242135047913,1.5974727869033813
19,0.977027416229248,0.07439947128295898,0.6541786789894104,1.7015761137008667
20,0.9767506122589111,0.07498586177825928,0.6455331444740295,1.654836654663086
21,0.9761970639228821,0.0691586583852768,0.6484149694442749,1.674402117729187
22,0.9759202599525452,0.07163835316896439,0.651296854019165,1.7127094268798828
23,0.976473867893219,0.06729304045438766,0.6484149694442749,1.7430005073547363
24,0.977027416229248,0.06694341450929642,0.6484149694442749,1.8015758991241455
